Year,Total_Trees,Private_Trees,DPW_Trees
1969,87,87,0
1970,21,21,0
1972,409,409,0
1973,168,168,0
1974,103,103,0
1975,20,20,0
1976,90,90,0
1977,79,79,0
1978,61,61,0
1979,101,101,0
1980,138,136,2
1981,113,112,1
1982,149,147,2
1983,164,163,1
1984,112,112,0
1985,168,168,0
1986,201,200,1
1987,214,214,0
1988,140,139,1
1989,181,170,11
1990,320,271,49
1991,209,181,28
1992,373,286,87
1993,365,322,43
1994,242,200,42
1995,590,486,104
1996,436,407,29
1997,418,318,100
1998,1109,1052,57
1999,452,416,36
2000,762,713,49
2001,389,367,22
2002,601,582,19
2003,519,462,57
2004,266,229,37
2005,421,332,89
2006,529,265,264
2007,566,314,252
2008,1100,615,485
2009,492,423,69
2010,344,326,18
2011,391,325,66
2012,278,224,54
2013,235,158,77
2014,327,262,65
2015,557,429,128
2016,462,365,97
2017,386,319,67
2018,309,251,58
2019,204,161,43
2020,226,199,27
2021,218,180,38
