qCaretaker,qSpecies,Count
DPW,::,13
DPW,:: Tree,1
DPW,Acacia Spp,12
DPW,Acacia: Silver Wattle,1
DPW,Almond,4
DPW,American Ash,17
DPW,American Autumn Purple Ash,11
DPW,American Elm,8
DPW,American Sweet Gum,39
DPW,Angel trumpet,1
DPW,Apple,1
DPW,Aristocrat Callery Pear,34
DPW,Arizona Cypress,4
DPW,Armstrong Red Maple,11
DPW,Ash,1
DPW,Ash Spp,7
DPW,Atlas Cedar,1
DPW,Australian Flame Tree,1
DPW,Australian Tea Tree,10
DPW,Australian Willow,11
DPW,Avocado,2
DPW,Bailey's Acacia,13
DPW,Banyan Fig,71
DPW,Big Leaf Maple,1
DPW,Birch,1
DPW,Black Locust,5
DPW,Blackwood Acacia,159
DPW,Bloodgood London Plane,1
DPW,Blue Gum,31
DPW,Bottle Tree,1
DPW,Brazilian Pepper,37
DPW,Brisbane Box,491
DPW,Bronze Loquat,68
DPW,Brush Cherry,26
DPW,Bushy Yate,15
DPW,Cajeput,64
DPW,California Buckeye,6
DPW,California Fan Palm,5
DPW,California Lilac 'Ray Hartman',6
DPW,California Pepper,3
DPW,California Sycamore,1
DPW,California lilac,1
DPW,California privet,1
DPW,Canary Island Date Palm,115
DPW,Canary Island Pine,34
DPW,Carob,51
DPW,Carrotwood,9
DPW,Cherry,1
DPW,Cherry Plum,34
DPW,Chilean pepper tree,1
DPW,Chinese Banyan,19
DPW,Chinese Elm,133
DPW,Chinese Hackberry,2
DPW,Chinese Pistache,13
DPW,Chitalpa tashkentensis ::,1
DPW,Cliff date palm,1
DPW,Coast Banksia,1
DPW,Coast Live Oak,29
DPW,Coast Redwood,3
DPW,Columbia Hybrid Plane Tree,8
DPW,Coppertone Loquat,2
DPW,Coral Gum,1
DPW,Coral reef araucaria,1
DPW,Cork Oak,27
DPW,Corkscrew Willow,1
DPW,Corymbia calophylla ::,1
DPW,Cotoneaster,10
DPW,Crab Apple,2
DPW,D.D. Blanchard Southern Magnolia,3
DPW,Date Palm,5
DPW,Date palm (species unknown),2
DPW,Deodar Cedar,4
DPW,Dracena Palm,33
DPW,Dragon Tree,6
DPW,Drake's Chinese Elm,17
DPW,Eastern Plane Tree,2
DPW,Eastern Redbud,1
DPW,Eastern black walnut,1
DPW,Edible Fig,1
DPW,Edible Loquat,3
DPW,Elm Spp,3
DPW,Emerald Arborvitae,2
DPW,English Hawthorn,2
DPW,English laurel,1
DPW,Eucalyptus,52
DPW,Eugenia,1
DPW,European Hackberry,1
DPW,Evergreen Pear,53
DPW,Fairmont Ginkgo,4
DPW,False Avocado,3
DPW,Fern Pine,18
DPW,Festival Sweet Gum,1
DPW,Flannel Bush Tree,1
DPW,Flaxleaf Paperbark,10
DPW,Flowering Cherry Tree 'Amanagawa',1
DPW,Flowering Plum,1
DPW,Freeman Maple,14
DPW,Frontier Elm 'Frontier',1
DPW,Fruitless Olive,9
DPW,Giant Yucca,1
DPW,Ginkgo: Autumn Gold,6
DPW,Ginkgo: Saratoga,1
DPW,Glossy Privet,41
DPW,Gold Medallion Tree,4
DPW,Golden Rain Tree,6
DPW,Golden Wattle,12
DPW,Guadalupe Palm,25
DPW,Hawthorn,1
DPW,Heath Melaleuca,1
DPW,Himalayan Magnolia,2
DPW,Holly Oak,16
DPW,Honey Locust,2
DPW,Hop Bush,1
DPW,Hybrid Laurel,4
DPW,Hybrid Maple,1
DPW,Hybrid Strawberry Tree,213
DPW,Incense Cedar,3
DPW,India Hawthorn,2
DPW,Indian Bay,3
DPW,Indian Hawthorn  'Majestic Beau',2
DPW,Indian Laurel Fig Tree 'Green Gem',116
DPW,Irish Yew,2
DPW,Island oak,4
DPW,Italian Buckthorn,10
DPW,Italian Cypress,1
DPW,Italian Stone Pine,25
DPW,Jacaranda,17
